school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
GREENDALE SECONDARY SCHOOL,http://www.greendalesec.moe.edu.sg,51 EDGEDALE PLAINS,828866,63158616,na,63158420,na,greendale_ss@moe.edu.sg,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",MISS NG AMY,MR LEONARD TAN SOON TECK,MR DEREK LEE KWANG BOON,na,na,na,Learners. Thinkers. Leaders,Nurturing Talents. Developing Character. Inspiring Lives,"The school believes in providing an enriching and holistic educational experience for all students. In this respect, we have designed vibrant and engaging Instructional Programmes and Co-curricular Programmes that are aligned to the school's TEACH and LEARN Protocols, incorporating active and innovative learning strategies, as well as leveraging the Environment as the 3rd Teacher. We are resolute in forging a culture of care, learning and excellence that will develop our students to be learners, thinkers and leaders. In recent years, the school has achieved outstanding results in both the academic and co-curricular areas. The stellar growth of the school has been made possible by the single-minded commitment and dedicated care of the staff, and the efforts of the School Advisory Committee, Parent Support Group and Alumni. Through the many exciting experiences in Greendale, we are confident that students will learn to embrace our school motto: Serve the community; Lead by example; and Excel in all endeavours.",PUNGGOL,NORTH,NORTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Through the school's Applied Learning Programme (ALP) in 'Design, Technology and Engineering' (DTE), students develop in-depth specialised knowledge in engineering and technology, and acquire critical and inventive thinking skills. From the DTE programme, students will learn how to Design, Code and Build. They will be exposed to Computer Aided Design (CAD) software, Arduino programming language and will get the opportunity to rapid prototype their ideas through the use of 3D printers and laser cutters. They will acquire critical 21st century skills such as design thinking, problem-solving strategies as well as creative and critical thinking techniques to solve real-world problems. For 2017, the school is implementing greater flexibility in subject offering at lower secondary levels. Eligible N(A) and N(T) students can take some subjects at a higher level starting from Secondary 1, based on their PSLE results. Beyond the start of Secondary 1, students can also do so if they do well in those subjects. 'Outdoor and Adventure Education' (OAE), the school's Learning for Life Programme (LLP), nurtures character attributes and specific skillsets through concrete experiences. Students step out of their comfort zones to develop personal qualities of resilience, initiative and self-reliance, and competencies in leadership and teamwork. They also acquire a range of skills in outdoor activities (e.g. kayaking, rock-climbing, orienteering). All students participate in a level camp every year to develop their physical, social, leadership and personal skills through integrated outdoor and adventure activities."
EDGEFIELD SECONDARY SCHOOL,http://edgefieldsec.moe.edu.sg,36 PUNGGOL FIELD,828814,68839511,na,63153120,na,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3,34,62,82,83,136",MR LEE PECK PING,MR TAN CHAI HOK,MDM LIM PUAY KHENG,MR NG BOON TIEN,na,na,Nurturing Resolute and Compassionate Role Models,"Growing Minds, Glowing Hearts","Guided by the school motto Sincerity and Honour and our core values Moral Courage and Compassion, a dedicated core team of experienced educators has worked to build the school into a premier institution for teaching and learning that is anchored in values and culture. Equipped with the newest facilities and the latest technologies, coupled with curriculum innovation, we are committed to provide the ideal learning environment and experiences for our students as we nurture them into becoming Resolute and Compassionate Role Models at home, in school and in the community. ""A journey of a thousand miles begins with a single step"" - Lao Tzu. Edgefield Secondary and staff look forward to this educational partnership with you and your child in 2017.",PUNGGOL,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Applied Learning Programme (ALP) - The school's ALP is a distinctive programme entitled ""Growing the Entrepreneurial Mindset (GEM)"".  Through the programme, students will hone their skills and competencies in finance, business management, marketing and advanced problem solving.  Learning for Life Programme (LLP) - The school's LLP is ""Character Education through Sports anchored on Taekwondo"".  Besides developing healthy bodies, students will imbibe positive values such as benevolence, resilience, courage, self-reliance, quick thinking and respect for others which will also enable them to contribute more effectively to society and have the additional edge to succeed in the competitive globalised world. Compulsory school programmes for all students: Analytical Thinking Skills; ICT via Apple Education Programme; Self Defence via Taekwondo; Speech and Drama Enrichment Programme; Story Telling, Film Appreciation,Creative Writing,  Bicultural Immersion Programme; Innovative Project Work; Challenge Based Learning, National Youth Achievement Award (NYAA); Robotics LEGO Mindstorm, Journalism and Broadcasting Programme, Outward Bound Singapore, Golf Education Programme and Third Language Classes. Other Specific Programmes: Edgefield Scholar / Talent Development Programme; Life Science Enrichment Programme; Mathematics Olympiad Enrichment; Basic Leadership Development Programme; Advanced Leadership Development Programme (to prepare students for higher responsibilities); Calligraphy, Painting & Music Programme; Tan Kah Kee Young Inventors' Programme."
MERIDIAN SECONDARY SCHOOL,www.meridiansec.moe.edu.sg,31 PASIR RIS STREET 51,518901,65831387,na,65836467,na,na,PASIR RIS MRT,"81, 53, 359, 518",MDM TAN HWEE TSIAN HILDA,MDM LOY WEE MENG,MR MOHD AZMAN B MOHD SIDEK,MDM TER MEI LI,na,na,"Joyful Learners, Creative Thinkers, Compassionate Leaders",To nurture in Meridians inquiring minds and caring hearts for their pursuit of excellence,"We believe that every child is a unique and precious individual who can learn and be moulded holistically. We nurture talents and shape the character of students through a range of student-centric and values-driven programmes and experiences. We provide a nurturing and conducive environment for learning so that students can grow, build confidence and strive for success. Students learn best when they collaborate with and are well supported by their teachers, peers and parents. Our team of unwavering, caring and competent staff lead, care and inspire to bring out the best in students and enable them to discover their passion and fulfil their aspirations. Anchored in sound values, and imbued with a strong sense of integrity and accountability, the staff are committed to serve, innovate and make a positive impact on the community. Our dedicated school partners provide further support through opportunities to enrich the students' learning. Together, we equip students with sound values and the competencies they need for the future.",PASIR RIS,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Our Growing Leaders programme in the area of student leadership is our Learning for Life Programme (LLP).We believe that every student has the potential to become a confident leader of sound character through the structured, differentiated, and meaningful experiences provided in the student leadership programme. OurApplied Learning Programme (ALP) in Visual Communication offers a spread of enriched Arts-related programmes that equip students with the skills and knowledge of how visual images, texts and contexts can be used creatively to communicate powerful messages to their intended audience through programmes such as photo journalism and video-making. The Enhanced Art Programme, a special Art curriculum for selected students who demonstrate a high level of interest in visual art, provides them with opportunities to learn a wide variety of art-making techniques from master artists and overseas immersion programmes. Developing Innovative Learners through Design Thinking (DT) is another signature programme where students actively seek to understand problems faced by users and develop innovative solutions using the DT approach. TheValues In Action programme for Sec 3 students allows them to initiate, lead and work in groups to carry out a year-long service learning project to serve the community. The Co-curricular Activities programme nurtures talents and shapes character by providing opportunities for students to hone leadership skills, build team and school spirit, and cultivate an appreciation for the outdoors and the aesthetics. The teaching and learning programme caters to the diverse talents and abilities of students with programmes to stretch or support students' learning such as the Maths and Science Olympiad and Humanities Scholars' programme. The Internationalisation Programme enables students to develop a global outlook and be culturally savvy."
DUNMAN HIGH SCHOOL,http://www.dunmanhigh.moe.edu.sg,10 TANJONG RHU ROAD,436895,63450533,na,63442316,na,DHS@MOE.EDU.SG,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",MR LOW TECK ENG TONY,MR LENNIE CHUA,MDM TEY KAH HWEE,MISS SEE PEI LOO,na,na,The premier school of Leaders of Honour,"To nurture our students to Care, to Serve, and to Lead","In Dunman High School, we view the twin pillars of a rigorous curriculum and character development as fundamental to the education of our students. This educational ethos is influenced by Confucian philosophy, where the Head, Heart and Hands are important in developing all-rounded individuals and Leaders of Honour who are knowledgeable, with a heart to care and serve others within and beyond the school community.",KALLANG,EAST,EAST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,Yes,Yes,Yes,Chinese,na,na,"Integrated Programme, School-based Gifted Education, Music Elective Program, Bicultural Studies Programme, Chinese Language Elective Programme, Dunman High Research Programme, Malay Special Programme, Thinking & Research Skills Programme, Overseas Immersion, Student Leadership Development Programme"
RIVER VALLEY HIGH SCHOOL,http://www.rvhs.moe.edu.sg,6 BOON LAY AVENUE,649961,65678115,na,65677351,na,RVHS@MOE.EDU.SG,BOON LAY MRT,"99,157,172,174,174E,198,502,502A,SS4,NR5",MRS TEO KHIN HIANG NEE LEE WAI TAI,MR LAU WAI CHI ALVIN,MR TAY HONG JOO STEVEN,MR GAY CHOON LIN,na,na,A world-class institution that develops leaders of distinction for Singapore.,"To nurture in students bicultural acumen and moral integrity; to empower students to be thinkers, leaders and achievers with a global perspective.","Founded in 1956, RVHS has grown from a humble background to becoming a Special Assistance Plan (SAP) school (1979) with Autonomous Status (1994) offering a single-track 6-year Integrated Programme (2006). Guided by our school motto, we imbue in our students the values 'Pursuit of Excellence, Perseverance, People-centricity and Proactive-ness'. We equip our students with attitudes, skills and knowledge to realise their fullest potential to serve as future leaders and contribute to society.",JURONG WEST,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,Yes,No,Yes,Chinese,na,na,"The RV Integrated Programme (RV IP) offers a balanced education that seeks to develop every student's interests and talents to their fullest potential across areas of the academics, CCA and leadership. Our Leadership - Character Development Curriculum aims to inculcate sound values and nurture character and leadership in our students through programmes such as the Personal Leadership Programme, Overseas Experiential Learning Programme, Education and Career Guidance Week, National Education and Values in Action as well as our annual leadership seminar. Through our academic Cognitive Interest Development Curriculum, we empower students to be innovative and critical thinkers and prepare them to thrive in higher education. Our signature programmes include the Bicultural Studies Programme and Bicultural Academy, the Science Leaders Academy, the Mathematics Leaders Academy, the Humanities and Social Studies Academy and the Construct, Integrate, Differentiate (CID) Programme. Our Co-Curriculum Activities nurture 21st century competencies and develop  interests and talents of students in a full range of sports, performing arts, uniformed groups, clubs and societies."
AHMAD IBRAHIM SECONDARY SCHOOL,http://www.ahmadibrahimsec.moe.edu.sg,751 YISHUN AVENUE 7,768928,67585384,na,67557778,na,aiss@moe.edu.sg,YISHUN MRT,"980, 167, 169, 800, 811, 812, 965, 969, 858, 856, 859",MISS CHEW ING LIM,DR CHUA PUAY HUAT,MR AU YONG PO LUNG,na,na,na,"Every AI student, a young lady or gentleman who cares, learns and excels for AI and for nation","To grow students with strength of character, nurture inquiring and disciplined minds, inspire courage to lead and serve","Ahmad Ibrahim Secondary School believes in building strong academic foundations and instilling academic resilience to prepare students well for their post-secondary education.  We seek to build up towards a culture of excellence and strong purpose to foster a positive school identity.  Our teachers work as a team to nurture every AI student to be a young gentleman or lady who cares, learns and excels for AI and for nation.  The school is committed to preparing our students to be life, work and world ready.  Our character education focuses on inculcation of the core values of AI RISE (Resilience, Integrity, Steadfastness, Excellence) with Care, Courage and Gratitude.  Students are provided with various opportunities to discover, explore and develop their interests and leadership skill.  The school takes pride in its academic and co-curricular programmes that provide quality learning experience to support the holistic development of every student.",YISHUN,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Character Development through Outdoor Learning Experience (OLE): Our Learning for Life Programme (LLP) is a broad-based developmental programme that spans from Sec 1 to 3, with extended opportunities for students with special interest in outdoor activities to be trained as OLE ambassadors.  It provides students with authentic, real world experiences to learn to work as a team and build their mental and emotional strength, self and collective leadership through taking on physical challenges.  OLE also promotes environmental appreciation through outdoor activities. Critical Social Inquiry (CSI) and Media Literacy: Our Applied Learning Programme (ALP) takes a multi-disciplinary approach where students extend their learning from existing curriculum subjects such as Languages, Humanities, Sciences and CCE using a critical media literacy lens. Students explore key issues that are related to the society e.g. social, ethical and environmental issues, and present their perspectives through various media forms.  The programme is guided by the 3Es approach-EXPLICATE for heightened awareness, EXPERIENCE for all and ENGAGEMENT for students anchored on values and reflection. Enhanced Music Programme (EMP):  EMP allows students to develop their passion and interest in music.  It is a two-year programme in upper secondary with visits to music performances and music master classes, culminating in the pursuit of O-Level Music or Higher Music.  There is also an accompanying two-year Music Preparatory Course (MPC) for lower sec students with music interest and talent. Student-initiated Service Learning Programme: To inspire courage to lead and serve, every class takes part in a structured 10-week programme to identify the need of a community to serve, plan and implement a service learning project.  Outstanding students are identified and nominated for A*STAR Award cum Research Exposure Programme, NAC Talent Development Programme so as to further develop and stretch their potential."
BROADRICK SECONDARY SCHOOL,http://www.broadricksec.moe.edu.sg,61 DAKOTA CRESCENT,399935,63445025,na,64471427,na,BROADRICK_SS@MOE.EDU.SG,Dakota (Circle Line),"10,16,30,31,32,33",MDM TAN LAY HONG,MR CHRISTOPHER THOMAS,MDM SUTINAH BINTE TAIB,MR LEK CHUN GUAN,na,na,A Dynamic School providing Holistic Education,To Nurture Achievers with Strength of Character,"Broadrick's vision is to become a vibrant learning community where Broadricians will be equipped with life skills and knowledge to meet the challenges of a complex and changing environment.  Our educational programmes provide opportunities for every Broadrician to be all-rounded and have the zest to lead a purposeful life.  Broadrick aspires to provide educational programmes to discover and maximise every Broadrician's potential.  In Broadrick, we believe in acknowledging the different peaks of excellence in our students.  We focus on developing self-directed Broadricians who are rooted in values.  We also want to educate Broadricians to embrace the spirit of innovation and enterprise so that they are empowered to take calculated risks and develop the resilience to face future challenges.  Broadricians have a sense of responsibility to contribute to the family, school, community, nation and world with the purpose of making a difference.  They learn to serve and serve to learn from others.",GEYLANG,EAST,EAST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"In broadening and deepening students' learning, Broadrick Secondary School has made significant progress in its journey to develop two distinctive programmes.  In 2014, we are recognised by MOE for our Applied Learning Programme (Entrepreneurship and Innovation) and Learning for Life Programme (Service Learning). Our Entrepreneurship and Innovation Programme is closely aligned to the school's vision of nurturing achievers with strength of character. It also aims to help our students to become inquisitive leaders, and critical and creative thinkers who embrace the spirit of creativity and enterprise. The programme also supports the school's effort to inculcate one of our school values - Enterprise. Through workshops and specific curriculum lessons, our students learn about innovation, design thinking, marketing and examine commercial viability in product designs. Service Learning is our adopted methodology for experiential learning to develop character and 21st century competencies in our students. Our comprehensive Service Learning programme is structured to be part of the school curriculum and every student is given an opportunity to be exposed to rich, authentic learning experiences as they work with others and with the community at large. Through these platforms, we aim to progressively develop important life skills in students, such as critical thinking, communication, leadership and active citizenry."
BUKIT MERAH SECONDARY SCHOOL,http://www.bukitmerahsec.moe.edu.sg/,10 LENGKOK BAHRU,159050,64748934,na,64744122,na,bmss@moe.edu.sg,Redhill MRT Station,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",MR CHENG GHEE HOCK TIMOTHY,MR APOLLOS INDUCHOODAN S/O R A P,MDM HO GEOK LAN,na,na,na,A Caring and Vibrant Institute that Inspires Learning for Growth and Excellence.,To nurture Resilient Merahans with Character and Heart.,"Bukit Merah Secondary School (BMSS) prides itself on cultivating a caring environment and establishing positive expectations to bring out the best in our students.  We are committed to fostering respectful relationships and providing opportunities for active participation so as to imbue students with the school values, 'Wisdom in making sound decisions, Integrity in word and deed, Self-discipline in conduct, Empathy for others; and Respect for self and others'. The school offers a balanced curriculum that emphasises academic rigour and value-addedness, character development and citizenship education. We had previously been conferred the NAC National Arts Education Glow Award as well as MOE awards for Character Development, and Sustained Achievement in both Sports and Uniformed Groups for our efforts in providing an all-round educational experience.",BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"I. Curriculum Enhancement: BMSS students have performed well in Mathematics and Science.  This has been the result of teachers exploring new pedagogy and stretching student capacity through curricular enrichment activities. Examples of these include the use of 3D Media for the teaching of Science and Interactive SMART boards in Mathematics. Our students participate annually in University of New South Wales International Competition for Mathematics & Science, Singapore Mathematics Olympiads, workshops at Singapore Science Centre and Advanced Elective Modules (Clean Energy, Polymer Science) at local polytechnics.  The school also champions reading literacy. In collaboration with the National Library Board, we have embarked on a whole-school effort to promote reading as a habit among students. II. Co-Curricular Initiatives: To develop 21st century competencies, we have distinctive programmes including (1) Applied Learning through use of Digital Media to tackle authentic real-life problems; (2) Merahan Leadership Challenge: a student-led event to plan and execute a one-day out-of-school curriculum with a national education thematic focus for their respective classes; (3) Experiential Learning Programme: leveraging outdoor education to build peer relationships and inculcate values; (4) Aesthetics Education: series of visual and performing arts workshops conducted for one level of students that culminates in an end-of-term performance; (5) Character Development through Sports (e.g. Floorball).  This serves as a key platform to develop life-skills by promoting teamwork, self-discipline and the pursuit of excellence.  All students will be taught team sports during PE lessons and their skills are developed progressively at the different levels."
BUKIT PANJANG GOVT. HIGH SCHOOL,http://www.bpghs.moe.edu.sg/,7 CHOA CHU KANG AVE 4,689809,67691031,na,67626576,na,BPGHS@MOE.EDU.SG,CHOA CHU KANG MRT,"300, 983",MDM CHAN WAN SIONG,MR DARREN CHONG WAI KI,MR WONG LIH JIA,na,na,na,"Every BPian a passionate learner, an inspiring leader",To ignite the joy of learning through a holistic education and develop leaders with a heart to serve,"BPGHS offers a student-focussed environment that is responsive to the needs and expectations of BPians, providing opportunities for each to develop his/ her talent and passion as well as to stretch his/ her potential.  The school expects all BPians to uphold school values and sets high expectations for them in terms of academic performance and character education.  Through an engaging curriculum, BPians are equipped with the confidence to be self-directed learners who are determined to excel by pursuing learning passionately.  Through an enriching co-curriculum, BPians are equipped with the qualities and competencies to inspire and lead others to serve the school and the community.",CHOA CHU KANG,WEST,WEST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"The school offers a comprehensive range of distinctive programmes that complement our curriculum to provide BPians with a holistic learning experience. The Computer Coding Programme is offered to all BPians to enhance their information and communication technology (ICT) skills so they will be able to navigate the changing digital landscape. The Science Technology Engineering and Mathematics (STEM) Programme covering areas like circuit design and programming, Traditional Chinese Medicine and food science provide hands-on and authentic learning opportunities to encourage BPians to pursue their passion in Science. Under the Elective Programme in Malay Language for Secondary Schools (EMAS), BPians undergo a structured curriculum and local and overseas enrichment programmes to develop a deeper appreciation of the Malay Language and culture. Through the Art Elective Programme, BPians hone and develop their aesthetic skills in various art forms including painting, ceramics, sculpturing, design, digital art and mixed media. Other special programmes to develop the desired qualities and competencies among BPians include the Leadership Development Programme, Cross-cultural Programme and Internship Programme."
DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21 TAMPINES STREET 45,529093,67862668,na,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES MRT,"28, 29, 293",MR SURESH S/O BALAKRISHNAN,MR HO KOK SUN KEVIN,MDM NURAZIAN BINTE BAJURI,MRS CLAIRE CHO,na,na,An institution of excellence which nurtures ethical change-makers.,"We are committed to instilling in our students the Five Fundamental Values of:  Discernment in our choice of right from what is not, Discipline in mind, fitness and conduct,  Daring to experiment and forge breakthroughs, Determination to succeed in all that we do And Duty  To serve and better our school, community and nation.","As a high-performing Autonomous School, our value proposition is Dunman Aspires, Builds and Cares.  We Aspire to be better than we ever imagined we could be. We believe in each child's different abilities and his potential to become an inquiring and independent learner who owns his learning outcomes.  We Build people as we are one community. We provide a rigorous and holistic education which nurtures students to excel in lifelong learning. We dare to be innovative and challenge our students and staff to do things differently. We place a premium on character development and positive teacher-student relationships. Together with the strong partnerships forged with parents and stakeholders, we believe that our high-care, high-expectations approach to nurturing the child will develop the necessary skills.  We Care by giving back to others, through instilling in students values and character that will essentially shape them into well-rounded and contributing members of society.",TAMPINES,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"As the East Zone Centre of Excellence for Innovations in Science, the school has a high-end Life Sciences Research Centre and an exciting Life Science Programme.  Students who are talented in Mathematics, Sciences and Design have the opportunity to join the Talent Development Programme, and to participate in international Olympiads. We provide a vibrant school-based curriculum such as MEDAL, which integrates Music, English and Literature. Students also undergo an ICT-driven Science Project Work where they work collaboratively and independently to create Mathematics and Science-themed Apps. Some of these Apps have been featured in the iTunes store. Our robust Character and Citizenship Education Programme provides students with leadership opportunities, and overseas immersion experiences to develop global perspectives. Our vibrant Values-in-Action programme enables students to serve the community and society at large. The school is one of the five pilot schools selected by MOE to implement a total curriculum infusing the teaching of 21st century competencies. The Dunman All-Round Excellence (DARE) Framework undergirds our focus on holistic education to nurture ethical change-makers."
JURONG SECONDARY SCHOOL,http://www.jurongsec.moe.edu.sg/,31 YUAN CHING ROAD,618652,62655980,na,62686414,na,JURONG_SS@MOE.EDU.SG,LAKESIDE MRT,"30, 49, 98, 98A, 154, 240, 246",MDM TAN YOK CHING RUBY,MR SHEIK ALAUDIN B MOHD ISMAIL,MISS KOH MUI GEK,na,na,na,Learn with Purpose Serve with Passion Lead with Heart,"Nurturing Hearts, Enriching Minds -  With the Community, For the Community.","Jurong Secondary School (JSS) was founded in 1963 at the request of community leaders to our Founding Prime Minister, Mr Lee Kuan Yew, when he made his first visit to the Jurong Constituency. Originally named Jurong Integrated Secondary School, the school offered both the English and Chinese streams. That JSS became widely known for its rich Chinese heritage and strong community partnerships stemmed from this unique history. Since its founding, JSS honours its commitment to the community by offering an all-round education for our students. Innovative programmes guided by our school values of Loyalty, Industry, Sincerity, and Love were introduced to nurture our students' character and cultivate thinking and independent learning, enabling them to pursue excellence in all that they do and grow as concerned citizens with a heart for and who contribute meaningfully back to the community. As a pioneer of the FutureSchool@Singapore project, our school leverages ICT to design a student-centric learning experience that emphasises acquisition of 21st century competencies.",JURONG WEST,WEST,WEST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"In JSS, we value every student, believing that they can contribute meaningfully to the society in all that they do. Our Special Programmes are designed to nurture their hearts and minds, in order for them to become contributing members of the society.   In the area of character development, building on our heritage of sporting excellence, sports was identified as the driver for our Learning for Life Programme (LLP). It leverages participation in sports to build students' physical fitness and nurture strong character and desired values. Project [COM]passion, which seeks to grow in our students an appreciation of the needs of the less fortunate in the community, is a platform for them to take initiative to plan and implement meaningful improvement projects to benefit the school and community. And to encourage our students to discover and explore interest areas beyond the core curriculum yet offer them insights on possible post-secondary and career options, the taught modules under our InSPire Programme takes into account emerging trends in different industries.  To complement our students' academic development, we offer our Environmental Studies Applied Learning Program (ALP) and 4-year talent based Research Scholarship Programme. While the former promotes critical thinking through exploration of environmental issues and study of environmental sustainability, the latter provides opportunities for our students to broaden their perspectives about social issues and cultivate good team dynamics and skills necessary to positively impact the community in future.   The school is implementing greater flexibility in subject offering at lower secondary levels. Eligible N(A) and N(T) students can take some subjects at a higher level starting from Secondary 1, based on their PSLE results. Beyond the start of Secondary 1, students can also do so if they do well in those subjects."
NAVAL BASE SECONDARY SCHOOL,http://www.navalbasesec.moe.edu.sg,901 YISHUN RING ROAD,768689,62571996,na,67557706,na,NBSS@MOE.EDU.SG,KHATIB MRT,"39, 811, 812, 851, 852, 853, 854, 855, 858, 965, 969",MR SULAIMAN B MOHAMAD YUSOF,MDM KOH HUI HUI,MR ISAAC NEO TENG SING,na,na,na,"Leaders of Character, School of Excellence",Every Navalite to achieve personal mastery and impact others positively.,"The school places strong emphasis on both performance and moral character for staff and students, with excellence being a key attitude trait. In NBSS, both staff and the students embrace the core values (ExC2ITe); Excellence, Care, Courage, Integrity and Teamwork, which anchor the way all will behave. This is also reflected in the school's motto: Enitamur in Alitora (Be Our Best - aim to achieve as high as possible, be at one's best and inspire others). The school thus sees excellence both as a value and an attitude while success is the outcome of exhibiting excellence.",YISHUN,NORTH,NORTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"NBSS actively applies questioning techniques as a key pedagogical approach to get students to reflect and acquire knowledge. The school offers Talent Development Programme (TDP) for students who show keen interest and potential in cognitive development. As part of the programme, students hone their communication and presentation skills, and gain increased exposure through participation in local and international academic competitions. Students also develop creative academic games and organise competitions for primary school students in the area of English Language, Mathematics and Science. The school uses the Pyramid of Success (PoS) as a key frame for character formation, anchored on the development of moral and performance character traits in every student. Aligned to this, the school's Learning for Life Programme (LLP) is ""Character Education through Sports"" where students learn to play a variety of sports, are given exposure to varied roles in different sports and exercise character traits of PoS. The school offers both Applied Learning Programme (ALP) in Art and Enhanced Art Programme (EAP). Through these, students acquire both breadth and depth of art learning in media such as drawing and painting, character and fashion design, visual communications, ceramic art and digital media. Signature programmes include the annual art exhibition and overseas study trip, an Art CCA and the Art Talent Development Programme (ATDP). Students regularly interact and work with practitioners through artist talks, student-practitioner collaborative projects and the unprecedented Learn to Curate Programme developed in collaboration with the National Gallery Singapore. The school is implementing greater flexibility in subject offering at lower secondary levels. Eligible N(A) and N(T) students can take some subjects at a higher level starting from Secondary 1, based on their PSLE results. Beyond the start of Secondary 1, students can also do so if they do well in those subjects."
OUTRAM SECONDARY SCHOOL,http://www.outramsec.moe.edu.sg,3 YORK HILL,168622,67334077,na,62352337,na,OSS@MOE.EDU.SG,OUTRAM MRT,"174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64",MR BOO HIAN KOK,MISS TAN EE LING ELLEN,MR KOH CHUAN SENG,na,na,na,Outram - A Hallmark of Distinction,To nurture individuals with a true Outramian SPIRIT,"The school sets out to accomplish the mission of nurturing every individual with a true Outramian SPIRIT. It is committed to the provision of an education that is strongly anchored in developing values and character. For each child that joins Outram, we seek to inculcate in them the school values, 'Sense of belonging - to the school, society and nation, Perseverance, Integrity, Responsibility, Industriousness and Teamwork (SPIRIT)'  The school motto, 'Labor Omnia Vincit', signifies the importance of 'Labour Conquers All'. The motto highlights the school's belief that through hard work, one can overcome difficulties encountered in life. Success in any area requires our students to exercise self-discipline and diligence as well as make necessary sacrifices so as to accomplish tasks set before them.",CENTRAL,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"In line with the vision of a 'Good School', we believe in providing our students with rich, rigorous and diverse learning experiences. Besides motivating them with interesting, hands-on activities during instructional programmes, emphasis is also placed on Character and Citizenship Education via CCAs, Social Emotional Learning (SEL), National Education (NE), Assembly and Enrichment Programmes. The formal and informal curriculum offered to all students includes Character for Life (C4L), Arts for Life (A4L) and Sports for Life programmes, and OPEL, an interdisciplinary project which sets out to develop all students in values, aesthetics, and thinking skills. As OSS has a long, reputable history in the area of commerce and accounting, our Applied Learning Programme (ALP) is Excellence through Business and Enterprise (B&E). We offer a wide range of business-related courses such as Business Studies, Principles of Accounting, Retail Operations and Advanced Elective Modules (AEMs) in areas such as Marketing in Action, Essentials of Marketing, Theme Park and Attractions, and Introduction to Tourism and Hospitality.  The School has a Learning for Life (LLP) programme delivered through the Sports for Life framework which comprises three domains, namely Mass Participation, Sports Engagement, and Talent Development. Students are nurtured holistically through the values inculcated through Sports to become well-developed youths of the 21st century. The school is implementing greater flexibility in subject offering at lower secondary levels. Eligible N(A) and N(T) students can take some subjects at a higher level starting from Secondary 1, based on their PSLE results. Beyond the start of Secondary 1, students can also do so if they do well in those subjects."
